"site","ACI","ADI","AEI","NDSI","NDSI_A","NDSI_B","BI","H","Ht","Hs","M","R","sfm","rugo","zcr_mean"
"s2llg006_190521",62.4719685005133,1.02297207837838,0.580176272972973,0.175264514397718,0.791162139843233,1.10348991493103,3.465162629059,0.753093930271025,0.958545015696225,0.888086032519292,0.0013439428926691,0.32689330743513,0.240406170239854,0.0281913376246334,0.12807598087886
"s2llg006_190530",62.517031722086,1.77808566112266,0.252691039501039,0.208712969102257,0.81568358872966,1.27882758130528,3.64274118406603,0.867200216593985,0.978766595637802,0.939272762261102,0.00062000292710313,0.206083226705001,0.293130006609795,0.0688516025868385,0.157142530849983
"s2llg006_210405",61.9643740307616,2.19209436940299,0.0865013003731343,0.255417191222379,0.800782326999774,1.36768164224512,3.26835903973193,0.906124487227184,0.988645741706335,0.957838300001827,0.000499620610464546,0.182251313934446,0.28154683661404,0.0695767574019365,0.156983287728975
"s2llg007_170401",62.6467849829331,1.54702948341232,0.373617423380727,0.405965578786541,0.673298411087538,1.69993118519713,2.41264883647372,0.854362352248774,0.96868120319415,0.935476890911196,0.00048239094112632,0.349253687403672,0.264126833680807,0.0401000866635223,0.212425656144614
"s2llg007_170414",63.1661505214612,1.97609419221411,0.205431406326034,0.582359551417564,0.518582715322561,1.89824315191534,3.33263719438622,0.915037946033337,0.977973048919139,0.957503365848209,0.000343641763301784,0.255575598624969,0.28007249650369,0.0487848866191217,0.235523780697306
"s2llg007_170418",62.123757117307,1.94171397953964,0.272957281329923,0.26599055882722,0.698888532298542,1.21512851771812,5.00929294173935,0.87868088308734,0.982792954813976,0.945804312423895,0.000859465492158594,0.277028206643012,0.309525083439274,0.0285447895429691,0.152557235553002
"s2llg007_170422",62.2816011378254,0.889066803069054,0.614886884910486,0.308320808185621,0.737418375140362,1.51951985654542,2.29176395757714,0.78027090606218,0.949840513199782,0.899113685061733,0.000601782767186273,0.395522253275886,0.250078426698629,0.0226151675350828,0.190704317380079
"s2llg007_170430",66.8905569013257,0.515500928870293,0.755011870292887,0.105205563055498,0.80277122401261,1.07025867877397,3.85732372196303,0.502702881840836,0.95924721170508,0.791855538715536,0.021780973846825,0.534682170176389,0.157166700695168,0.0108604673827839,0.0717831712131331
"s2llg007_170506",62.3346386931177,2.11943987570621,0.132603505649718,0.326677568880783,0.751747716097512,1.51648833370769,2.25713223571972,0.925381109895042,0.985443064972868,0.965756981343752,0.000378944596766447,0.208140945679528,0.285244810374557,0.0406801105917278,0.227627975170953
"s2llg007_170516",61.9984967212257,2.11895180782918,0.154298841637011,-0.641827781881971,0.988625313879046,0.217265323057601,6.29093222853279,0.833323817155372,0.988397024162186,0.926866379917546,0.00120177147222249,0.128984658872561,0.257675777636615,0.0408952826445605,0.0915126998125226
"s2llg007_170520",62.6955692456303,1.94578062376238,0.257872534653465,-0.344564616613649,0.931736837492339,0.47031440511403,5.72914740546948,0.840854314670438,0.982343223107192,0.930273758449956,0.00118496062408346,0.271395157798014,0.268651402818551,0.0355029726176283,0.117104796966737
"s2llg007_170527",62.4520728329659,1.8674493814433,0.263994649484536,0.429409769292712,0.638266188054292,1.70131368187067,3.48417457482133,0.877349687229719,0.979334512211762,0.948342996295671,0.000682949756096325,0.269418082338732,0.282124235310314,0.0413429977595423,0.200549463448527
"s2llg007_170606",62.9721670421424,1.09760031203008,0.555684377819549,0.0531524505993677,0.873299339059773,1.07149108982589,2.98127304020506,0.714053500836096,0.965380305311343,0.878290272506878,0.00545130385887109,0.48284290676831,0.245367059537995,0.0274841884442818,0.114492426809369
"s2llg007_170613",62.3406859321345,1.7732756612529,0.300775879350348,0.312192956551517,0.720306717618203,1.47749974068137,3.26471210548114,0.875742959113766,0.972773813624,0.946133235600814,0.000552049571925789,0.269688905595385,0.281437054117444,0.0376421971561812,0.217439375390685
"s2llg007_170627",61.8349795942934,1.17242080896686,0.514475576998051,0.277060465502562,0.76803811004588,1.51273889985707,1.91239265704264,0.800799672759432,0.965188599630804,0.914619717812047,0.000846136627322067,0.421658177629539,0.258056701564695,0.0301677402170158,0.181018383220972
"s2llg007_170718",61.8051279327757,1.5809149928952,0.459365253996448,-0.644475519128288,0.981794836552624,0.239271037339932,4.43641694993092,0.771243129104557,0.978292189602277,0.903458823321129,0.00165163625977345,0.42909126557064,0.229791062640024,0.0238479462797956,0.0787268216618311
"s2llg007_170728",61.8994895199808,1.83040703935743,0.256050490361446,0.289477722216996,0.704592724225717,1.38919742912729,2.26682699615336,0.881636389067565,0.979579731540564,0.947297676457547,0.000689204106429613,0.483600012697484,0.280657027030367,0.0506542893997855,0.211767595017524
"s2llg007_180330",62.4264453981936,0.571032998482549,0.728393623672231,0.158760056294386,0.80598483531694,1.21792112084869,1.90830098160468,0.622719418824286,0.964133558883603,0.838442549629625,0.00444838628793579,0.523083349642548,0.215414396550132,0.0134911602388458,0.105388878402822
"s2llg007_180414",62.9696538974712,1.18624870772443,0.554494402922756,-0.259795475591785,0.901267362209777,0.719595657812846,2.63819497437656,0.67679770327959,0.975730878450079,0.863722005970271,0.00542088118185345,0.614780626911657,0.198243208605108,0.0288646202781639,0.0834405714324726
"s2llg007_180425",64.0003581621521,1.68470668391867,0.37986725323475,0.149069548034419,0.734110735762927,1.09583737832527,5.56940647809096,0.823287227374562,0.974377764912256,0.922502171283254,0.000920369897869701,0.502976106989048,0.256328029589301,0.0372218709212512,0.129837076763141
"s2llg007_180502",62.7319585292172,1.6971634793757,0.301638317725753,0.509039095489121,0.601031291162245,1.93619788860818,2.25000159579841,0.869147152077363,0.973129282987483,0.942692730023229,0.000497664837366547,0.276296818987928,0.268464466636726,0.0471669893627931,0.233510769820383
"s2llg007_180524",62.1676757698214,1.97682040717629,0.209721048361934,0.163418454310825,0.778693544633273,1.10937808423872,4.98401837795609,0.898093446797615,0.981438376505482,0.95239102575192,0.000526056263309204,0.208047056645851,0.294026400525907,0.0485882549163995,0.171842407291999
"s2llg007_180614",62.378627424328,0.705258898058252,0.674754992718447,0.103352954866773,0.86060635831445,1.14679556803747,1.69710346056418,0.695176705310739,0.952977262667309,0.86148634145463,0.00128660711113512,0.474878627241888,0.217390028051405,0.0173520138343825,0.144624091289488
"s2llg007_190521",62.4632023062185,2.08955438978495,0.179720857526882,0.421108495663842,0.629496874578657,1.69759027887062,3.13114004897982,0.925865594393261,0.985299054109886,0.964991710573472,0.00034879702134785,0.191267925853131,0.264325213915777,0.051169914208898,0.222239713898637
"s2llg007_190619",63.2729006701897,1.28577486089239,0.50924342519685,0.464754986045055,0.589226467116771,1.68758716948681,3.43226449508212,0.820658561735805,0.960431649349821,0.919842848643217,0.000500416118495966,0.343220365435693,0.245317078724201,0.0313344700177286,0.2241044870765
"s2llg007_210420",63.0401987831979,2.1613759335443,0.119391268987342,0.58304555742503,0.531274915306379,1.95101279766228,2.98044224631363,0.941397464006893,0.986094069080544,0.971540769828343,0.000272993485366509,0.119139915821877,0.260580891692185,0.0393027139117587,0.25368969654916
"s2llg007_210622",64.3363843994558,0.626798265714286,0.69197284,0.130096348807122,0.823805306353834,1.19568280789399,2.28480247182748,0.556506324690841,0.96870123096919,0.806805824022421,0.0119381617444554,0.476553497114005,0.160986949967902,0.0161632538781278,0.100526709789596
"s2llg007_210628",61.9803963563979,1.6307320518732,0.325706008645533,0.435663270754375,0.671304921499929,1.8538807339048,1.91608650362735,0.866853969400199,0.974553047324339,0.942346998616132,0.000681680774754532,0.291134532419052,0.249301383921225,0.0430884880808327,0.220330883368748
"s2llg008_170401",61.8700461255473,2.08759182994924,0.158702243654822,0.380789523326219,0.685491930773969,1.78700672466743,2.02474091155983,0.937474574940255,0.986767342439418,0.970483911033897,0.000333900709431187,0.173983911809655,0.282161972487295,0.0542925652724633,0.253531875232029
"s2llg008_170415",63.6966827623558,2.00850524873096,0.234992994923858,-0.169253496441513,0.910169774721291,0.658846418945495,4.21653701144939,0.880336126836777,0.985597391466088,0.946924780265132,0.000751418234008994,0.332650579612714,0.296182522999605,0.0268881138627571,0.137676271005791
"s2llg008_170422",62.1601978279621,1.71623965239295,0.310461277078086,0.459783590943429,0.65601804224886,1.81623284476309,2.31286477646302,0.90149964770158,0.973481987858533,0.954428847013318,0.000331821051806422,0.254274419121536,0.278437434368,0.0518438273402925,0.240025427156385
"s2llg008_170506",63.6071034153952,1.73896597120419,0.293081091623037,0.493558919294289,0.613805544656107,1.83834587346275,2.15029569077076,0.89564133433418,0.97386051706429,0.953129674498634,0.000387038829547532,0.27589554715066,0.280225364013278,0.0484210843297264,0.260211406376596
"s2llg008_170516",62.9308040699723,1.45811813370998,0.378870883239171,0.137829683818356,0.826499845089852,1.12176491429152,3.28751386506626,0.795891438066522,0.966662772250754,0.906858612991767,0.00141203653674338,0.322500657675881,0.24960726228191,0.043827192708322,0.17870348930144
"s2llg008_170520",62.4643789044628,2.11674262666667,0.143390544,0.360017891678485,0.708274390648547,1.56824245967704,3.05587011017213,0.918716194849573,0.985775309588503,0.962697605787641,0.000475396503174151,0.187581171704455,0.29174452423142,0.0473482928090792,0.226468083526049
