site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam106_210424,63.40962647,2.113156178,0.218735884,0.283675572,0.773009158,1.464158378,2.664327769,0.902034697,0.974543721,0.962498539,0.004845258,0.609863492,0.484794775,0.045621261,0.551048801,0.26810352,0.031678082
s2lam106_210508,67.24379972,2.084480514,0.278668486,0.106648807,0.820960244,1.143436363,3.681587446,0.908319616,0.96041348,0.967126703,0.004571915,0.46959158,0.467945438,0.022309088,0.577972242,0.273818209,0.021931739
s2lam106_210530,63.38397506,2.105109932,0.209762859,0.47980253,0.542783326,1.645708873,3.088019664,0.912901413,0.978141204,0.968752147,0.007648978,1.422028046,0.466451224,0.064725548,0.661229957,0.393858557,0.106552683
s2lam106_210613,71.22761097,1.951403005,0.350434486,0.186497883,0.806603358,1.260448493,3.425512447,0.882059845,0.968708414,0.960005056,0.014308982,0.433827237,0.547462714,0.026189922,0.618971706,0.242523044,0.017683699
s2lam107_200522,60.61242377,2.276585356,0.057213784,0.710945635,0.348699565,2.034869152,4.077654019,0.933870084,0.989323343,0.974953986,0.004307896,2.09236285,0.371745516,0.099526872,0.688848921,0.494617998,0.181528215
s2lam107_200528,59.10717888,2.167661382,0.125603608,0.563277581,0.509072282,1.935098792,2.497208236,0.948325313,0.984122076,0.976116279,0.002892589,2.0395657,0.383965435,0.126727373,0.643222385,0.502034827,0.163133409
s2lam107_200708,62.13839382,1.769177065,0.407965258,-0.034652496,0.824672601,0.979172595,2.835732817,0.884482668,0.979381738,0.95598698,0.007274614,1.56366972,0.376243664,0.057791566,0.673544607,0.410523643,0.082608787
s2lam107_210327,70.63633517,1.895191597,0.368132199,0.042819801,0.791425538,1.06539546,3.482968636,0.892770716,0.966191156,0.963789334,0.017847894,0.877712811,0.446031588,0.057926375,0.694745464,0.295727815,0.036941364
s2lam107_210418,61.2430985,2.097397515,0.20669823,0.273183708,0.73275835,1.477245095,2.561944082,0.927646839,0.980911396,0.968885146,0.004044684,0.98622305,0.394066879,0.036698186,0.609150598,0.339281916,0.063006981
s2lam107_210506,65.04870995,2.205277262,0.150661924,0.577236586,0.408349799,1.664960646,5.351756325,0.945590884,0.977497153,0.972751714,0.004199073,1.637748327,0.452410336,0.054630631,0.615490302,0.444938824,0.099393858
s2lam107_210521,60.14982399,1.973743536,0.275612961,0.575892314,0.451089174,1.736651332,4.706599377,0.924821684,0.980800153,0.965524487,0.004046245,1.784700092,0.380601113,0.074741507,0.606677314,0.391661148,0.09085808
