"site","wavs","preds","Anthropophony_mean","Anthropophony_var","Biophony_mean","Biophony_var","Geophony_mean","Geophony_var","Quiet_mean","Quiet_var","Interference_mean","Interference_var","Unidentified_mean","Unidentified_var","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam003_180604",713,21390,0.00939691444600281,0.00930904765049107,0.0199625993454885,0.0195650086530215,0.0142122487143525,0.0140109157226068,0.756100981767181,0.184420908966262,0.00144927536231884,0.00144724262301969,0.199859747545582,0.159923305401965,201,427,304,16173,31,4275
"s2lam003_180707",994,29820,0.0235077129443327,0.0229558701910199,0.0507712944332663,0.0481951862982674,0.245003353454058,0.184982913567345,0.0545942320590208,0.0516154327847317,0.00120724346076459,0.00120582646082741,0.626626425217975,0.23397359463352,701,1514,7306,1628,36,18686
"s2lam003_190304",574,17220,0.0343205574912892,0.0331445815972268,0.028397212543554,0.0275924132101865,0.188501742160279,0.152977719086343,0.252322880371661,0.188667000684426,0.0616724738675958,0.0578723405977474,0.445993031358885,0.247097596792134,591,489,3246,4345,1062,7680
"s2lam003_190406",567,17010,0.0401528512639624,0.0385428656938511,0.19864785420341,0.159196243203403,0.015108759553204,0.01488135979745,0.426513815402704,0.244614161282461,0.00335097001763668,0.00333993736898082,0.318812463256908,0.217183844538644,683,3379,257,7255,57,5423
"s2lam003_190413",757,22710,0.0218846323205636,0.0214066377972029,0.0505504183179216,0.0479971870082798,0.0531043593130779,0.0502865006239125,0.58335535006605,0.243062588503455,0.0273007485689124,0.0265565870750484,0.270189343901365,0.197195745555561,497,1148,1206,13248,620,6136
"s2lam003_190510",580,17400,0.0382758620689655,0.036812936137828,0.109712643678161,0.0976813933684919,0.0674137931034483,0.0628727869814159,0.0251149425287356,0.024485589408296,0.0513218390804598,0.0486907062303092,0.714195402298851,0.204132061361698,666,1909,1173,437,893,12427
"s2lam003_190523",661,19830,0.0767019667170953,0.0708223464936859,0.268179525970751,0.196269165408621,0.0305093292990419,0.0295800018041293,0.131114473020676,0.113929213280864,0.0408472012102874,0.0391806831922773,0.461573373676248,0.248535927719063,1521,5318,605,2600,810,9153
"s2lam003_190601",666,19980,0.0208708708708709,0.0204363004578231,0.122872872872873,0.107780524405481,0.143093093093093,0.122623597119318,0.23988988988989,0.182351857338093,0.198648648648649,0.159195330772987,0.325475475475475,0.219552178937033,417,2455,2859,4793,3969,6503
"s2lam003_190610",424,12720,0.0213050314465409,0.0208527664500344,0.0831761006289308,0.0762638324974126,0.0109276729559748,0.010809108692438,0.588207547169811,0.242238472527358,0.196933962264151,0.158163411001518,0.124213836477987,0.108793312238759,271,1058,139,7482,2505,1580
"s2lam003_190623",430,12900,0.00581395348837209,0.00578059954169874,0.131937984496124,0.114539231753438,0.0227906976744186,0.0222730083637275,0.502790697674419,0.250011592750114,0.00162790697674419,0.00162538289429323,0.335581395348837,0.222983808011077,75,1702,294,6486,21,4329
"s2lam003_200522",855,25650,0.0225730994152047,0.0220644148090996,0.329083820662768,0.220796267682388,0.014541910331384,0.0143310018888219,0.415360623781676,0.242845643659793,0.0288109161793372,0.0279819382020145,0.200038986354776,0.160029629264831,579,8441,373,10654,739,5131
"s2lam003_200616",707,21210,0.0147571900047148,0.0145401008783311,0.0834040546911834,0.0764514228512092,0.0295143800094295,0.0286446319069309,0.587505893446488,0.24235414502161,0.0303158887317303,0.0293982216769059,0.260773220179161,0.192779636908344,313,1769,626,12461,643,5531
"s2lam003_200702",569,17070,0.0256004686584651,0.0249465460891822,0.0741066198008202,0.0686188485530472,0.0515524311657879,0.0488976425434476,0.284299941417692,0.203485405372309,0.308260105448155,0.213248305415186,0.279789103690685,0.201518966592846,437,1265,880,4853,5262,4776
