"site","wavs","wavs_sans_int","Anthropophony_mean","Biophony_mean","Geophony_mean","Quiet_mean","Interference_mean"
"s2lam014_180707",1004,29,0.16434188034188,0.0397948717948718,0.153435897435897,0.000239316239316239,0
"s2lam014_190315",590,132,0.167248908296943,0.227656477438137,0.016448326055313,0.0687772925764192,0
"s2lam014_190402",722,368,0.0246704331450094,0.0610169491525424,0.376741996233522,0.016195856873823,0
"s2lam014_190414",709,279,0.0410852713178295,0.372093023255814,0.00472868217054264,0.395271317829457,0
"s2lam014_190428",430,247,0.0934426229508197,0.184517304189435,0.0202185792349727,0.173224043715847,0
"s2lam014_190513",997,485,0.0296223958333333,0.3078125,0.156640625,0.231901041666667,0
"s2lam015_180707",989,55,0.0588151320485368,0.116738044254104,0.0325124910778016,0.107708779443255,0
"s2lam015_190311",454,195,0.379279279279279,0.235521235521236,0.0142857142857143,0.00398970398970399,0
"s2lam015_190324",878,431,0.0198359433258762,0.124906785980611,0.110514541387025,0.101565995525727,0
"s2lam015_190402",723,472,0.0374501992031872,0.20531208499336,0.261487383798141,0.10531208499336,0
"s2lam015_190409",307,116,0.107504363001745,0.791623036649215,0.00261780104712042,0.000174520069808028,0
"s2lam015_190418",299,254,0.0748148148148148,0.457777777777778,0.00444444444444444,0.221481481481481,0
"s2lam015_190427",423,209,0.00560747663551402,0.27803738317757,0.0610591900311526,0.22803738317757,0
"s2lam015_190612",553,119,0.0457757296466974,0.301382488479263,0.00268817204301075,0.41989247311828,0
"s2lam015_200522",857,493,0.0195054945054945,0.498901098901099,0.0813186813186813,0.11456043956044,0
"s2lam015_200603",1007,777,0.0395652173913043,0.496811594202899,0.00492753623188406,0.251449275362319,0
"s2lam015_210322",430,108,0.165631469979296,0.0789855072463768,0.0832298136645963,0.213457556935818,0
"s2lam015_210409",410,297,0.0268436578171091,0.312979351032448,0.00383480825958702,0.458702064896755,0
"s2lam015_210502",714,346,0.258242753623188,0.343025362318841,0.0078804347826087,0.0295289855072464,0
"s2lam015_210521",433,229,0.0392156862745098,0.260294117647059,0.00718954248366013,0.362745098039216,0
"s2lam015_210609",429,362,0.0283582089552239,0.228358208955224,0.00398009950248756,0.56318407960199,0
"s2lam015_210623",425,278,0.0462585034013605,0.203401360544218,0.10249433106576,0.24172335600907,0
"s2lam016_180707",968,33,0.137254901960784,0.133083778966132,0.090017825311943,0.0458823529411765,0
"s2lam016_190312",428,62,0.0134790528233151,0.0448087431693989,0.104189435336976,9.10746812386157e-05,0
"s2lam016_190326",583,134,0.162509279881218,0.231031922791388,0.0232368225686711,0.117223459539718,0
"s2lam016_190402",248,6,0.00785123966942149,0.0988980716253443,0.405509641873278,0.000137741046831956,0
"s2lam016_190617",437,51,0.0660621761658031,0.328756476683938,0.0531088082901554,0.115889464594128,0
"s2lam016_190627",420,108,0.0077991452991453,0.288247863247863,0.0493589743589744,0.128846153846154,0
"s2lam016_200522",872,351,0.0614843250159949,0.387332053742802,0.0218170185540627,0.229110684580934,0
"s2lam016_200610",1706,1422,0.0176056338028169,0.842488262910798,0.00762910798122066,0.00152582159624413,0
"s2lam016_200701",579,370,0.0751196172248804,0.204306220095694,0.0419457735247209,0.11451355661882,0
"s2lam016_210417",558,264,0.0470521541950113,0.23968253968254,0.041609977324263,0.228231292517007,0
"s2lam016_210514",544,391,0.0372549019607843,0.342047930283224,0.00261437908496732,0.344880174291939,0
"s2lam016_210530",569,160,0.0123064384678077,0.487856560717196,0.0244498777506112,0.191687041564792,0
"s2lam016_210609",436,189,0.0341430499325236,0.350202429149798,0.0163292847503374,0.206612685560054,0
"s2lam016_210622",417,206,0.0113744075829384,0.284834123222749,0.0116903633491311,0.33696682464455,0
"s2lam016_210627",450,133,0.013459516298633,0.0768664563617245,0.00841219768664564,0.72260778128286,0
"s2lam017_180702",570,185,0.0835497835497836,0.598961038961039,0.00380952380952381,0.134372294372294,0
"s2lam017_180707",980,102,0.0357251328777525,0.0646924829157175,0.255656795747912,0.102391799544419,0
"s2lam017_190311",450,202,0.282661290322581,0.261559139784946,0.0157258064516129,0.0147849462365591,0
"s2lam017_200701",564,183,0.0162729658792651,0.274103237095363,0.116972878390201,0.238145231846019,0
"s2lam017_210417",547,127,0.0505555555555556,0.197698412698413,0.0096031746031746,0.45468253968254,0
"s2lam017_210507",578,322,0.00950520833333333,0.300260416666667,0.0321614583333333,0.4015625,0
"s2lam017_210521",426,292,0.0203980099502488,0.707213930348259,0.00845771144278607,0.0833333333333333,0
"s2lam017_210606",565,385,0.156666666666667,0.285740740740741,0.0492592592592593,0.0611111111111111,0
"s2lam017_210616",574,426,0.00135135135135135,0.448873873873874,0.0941441441441441,0.0558558558558559,0
"s2lam018_180612",1277,630,0.0685213807315817,0.387995878413189,0.010252447192169,0.298918083462133,0
"s2lam018_180707",989,106,0.0158550396375991,0.103133257833145,0.0661381653454134,0.418950547376368,0
"s2lam018_190312",425,141,0.0474178403755869,0.114906103286385,0.0353286384976526,0.218427230046948,0
"s2lam018_190326",574,279,0.0372881355932203,0.0792090395480226,0.0950282485875706,0.0181920903954802,0
"s2lam018_190402",721,374,0.0109510086455331,0.0936599423631124,0.0674351585014409,0.7,0
"s2lam018_190412",582,550,0.103125,0.43125,0.0145833333333333,0.0635416666666667,0
"s2lam018_190506",460,460,NA,NA,NA,NA,NA
"s2lam018_190517",865,865,NA,NA,NA,NA,NA
"s2lam019_180707",981,49,0.0154864091559371,0.12535765379113,0.125500715307582,0.211623748211731,0
"s2lam019_190311",460,281,0.152327746741155,0.662383612662942,0.00893854748603352,0.00111731843575419,0
"s2lam019_190402",707,441,0.0179197994987469,0.144360902255639,0.198621553884712,0.161027568922306,0
"s2lam019_190414",710,370,0.0906862745098039,0.380392156862745,0.00382352941176471,0.337843137254902,0
"s2lam019_190428",431,84,0.0227665706051873,0.350048030739673,0.0261287223823247,0.17521613832853,0
"s2lam019_190513",1025,507,0.026962676962677,0.222586872586873,0.127284427284427,0.251480051480051,0
"s2lam019_190522",854,252,0.037375415282392,0.449944629014396,0.119601328903654,0.00736434108527132,0
"s2lam019_190603",562,253,0.130636461704423,0.502804746494067,0.00711974110032363,0.0668824163969795,0
"s2lam019_200522",852,154,0.0242597898758357,0.557975167144222,0.0379656160458453,0.0726361031518625,0
"s2lam019_200624",416,60,0.00664794007490637,0.140449438202247,0.0167602996254682,0.537172284644195,0
"s2lam019_200710",530,42,0.00949453551912568,0.075068306010929,0.0136612021857923,0.559494535519126,0
"s2lam019_210326",583,56,0.0848829854522454,0.0690702087286528,0.0193548387096774,0.403352308665402,0
"s2lam019_210417",572,389,0.424954462659381,0.22568306010929,0.0153005464480874,0.000182149362477231,0
"s2lam019_210501",414,358,0.00595238095238095,0.350595238095238,0.030952380952381,0.348809523809524,0
"s2lam019_210515",577,109,0.0285612535612536,0.0232193732193732,0.327991452991453,0,0
"s2lam019_210608",436,320,0.0324712643678161,0.107758620689655,0.00114942528735632,0.486494252873563,0
"s2lam020_190529",550,73,0.043046820405311,0.26869322152341,0.0468204053109713,0.178127183787561,0
"s2lam020_190607",464,374,0.0466666666666667,0.0555555555555556,0.0177777777777778,0.616296296296296,0
"s2lam020_200616",722,126,0.0126398210290828,0.273434004474273,0.0700223713646532,0.121196868008949,0
